Participant,ID,luc_3_cen_bef_YEL,luc_3_cen_aft_BLU,luc_3_clo_bef_RED,luc_3_clo_aft_YEL,luc_18_cen_bef_BLU,luc_18_cen_aft_RED,luc_3_cen_win_RED,luc_18_cen_win_YEL,bare_3_cen_bef_YEL,bare_3_cen_aft_BLU,bare_3_clo_bef_RED,bare_3_clo_aft_YEL,bare_18_cen_bef_BLU,bare_18_cen_aft_RED,bare_3_cen_win_RED,bare_18_cen_win_YEL,almo_3_cen_bef_YEL,almo_3_cen_aft_BLU,almo_3_clo_bef_RED,almo_3_clo_aft_YEL,almo_18_cen_bef_BLU,almo_18_cen_aft_RED,almo_3_cen_win_RED,almo_18_cen_win_YEL,Q70,Order
14,1038,7,6,7,7,9,9,11,11,1,1,7,8,1,1,11,11,1,1,1,4,1,1,11,11,lucky suggests that the person barely/almost lost,LBA
15,959,6,8,6,6,9,10,11,1,1,2,6,7,8,8,11,11,1,1,6,6,2,6,11,11,I interpreted them as different questions. Almost signifies a potential. Barely signifies something less. Lucky is random. ,BAL
16,991,5,6,10,10,5,10,1,11,1,1,10,10,5,3,11,11,3,1,10,10,5,5,11,11,"I thought that they were asking the same question, however, the different sizes of the wheel did affect how I chose the degree in which I agreed with the statement. The 18-wedge wheel made it harder to completely agree with the statement as the surface area of the wedge was vastly smaller.",ALB
17,985,6,6,6,6,8,8,11,11,3,3,5,6,7,7,11,11,1,1,7,7,3,3,11,11,"almost lost- I looked more at how close the pointer was to another color, if it was directly in the center of its color, then it clearly did not almost lose lucky- I looked at how many outcomes there were barely- kind of an in between of the two above",LBA
18,951,4,3,5,8,7,6,11,11,1,1,1,7,3,3,11,3,1,1,1,8,4,5,11,11,"They were asking something different. ""barely"" and ""almost"" meant they were pretty close to winning and losing. ""lucky"" meant how great their chances were.",BAL
19,983,2,1,8,8,7,7,11,11,1,1,9,7,1,1,11,11,1,1,9,9,1,1,11,11,"For barely and almost, I thought they were asking the same thing. However, for lucky, I treated it as though if the win happened by some off-chance.",BAL
20,839,10,10,10,4,10,1,11,11,1,1,5,4,1,1,11,11,1,1,3,5,1,1,11,11,"these terms were hard because when the player did win, they did not barely or almost win, they won! full on win. ",ALB
21,1079,6,6,10,9,8,8,11,11,2,2,10,9,5,3,11,11,2,2,10,9,7,7,11,11,"I think they were asking something different for the most part. The term ""lucky"" is more broad than ""barely"" and ""almost"" and I believe it is also more subjective. Between the 3 and 18 sector wheels, winning on the 18 sector wheels seems more ""lucky"" because of the greater number of outcomes. The terms ""barely"" and ""almost"" in this context are similar to each other in respect to their description of how close the player was to winning and from losing. Because of this, my thought process was a little less subjective and also not as much based on the probabilities of the 3 and 18 sector wheels. Instead, I focused more on how close or far the marker was from the next color.",LBA
22,943,4,4,4,4,4,5,11,11,6,3,7,5,4,4,11,11,4,3,6,2,5,4,11,11,The last 2 questions were very similar but the first one seemed to relate just to luck and chance,LBA
23,1081,5,4,9,8,8,8,11,11,1,1,7,7,1,1,11,11,1,1,6,6,2,2,11,11,"It was tough. They're still lucky for landing on the winning color because it was a 1/3 chance, even if it stopped in the exact middle of the winning slice.",BAL
24,1024,6,6,7,7,6,5,11,11,2,2,2,3,3,2,11,11,3,3,8,8,8,8,11,11,"When they used almost I had the most disparity between whether or not I agreed with the statement for each perspective wheel because of the spatial differences. When lucky began to be used I shifted to thinking about things in more of a mathematical probability scenario and my answers became less extreme all around and I was neutral and/or slightly above to show luck in landing on 1/3 colors since it's not a 50/50 chance. However once they began using barely to describe wins I found it off-putting and faulty when I'm aware that winning and losing in these scenarios is either yes or no, one or the other.",ALB
25,1082,6,9,8,4,5,5,7,5,6,2,4,4,6,5,5,8,3,2,2,4,4,4,2,5,"I cannot tell the difference, but I think it does influence my choices.",BAL
26,1036,7,7,9,9,9,9,3,4,3,4,7,6,8,4,6,6,3,2,7,7,8,7,2,4,"I think the three words can be quite different in some contexts. 'Lucky' indicates that they won, while 'almost' indicates that they won but was very close to not winning. 'Barely' seems more negative. ",ALB
27,984,4,3,5,4,10,8,11,11,2,1,7,7,3,3,11,11,1,1,6,6,2,1,11,11,"My responses definitely differed based on the phrasing used, as I felt like they were each asking something different. Although barely and almost were similar, lucky felt like a completely different question.",LBA
28,969,5,5,6,6,7,7,4,11,3,3,6,7,6,6,3,11,3,3,6,7,4,5,11,11,The use of the word lucky made it seem like there was somehow a disproportional chance of winning which logically I knew wasn't true. Barely felt more pessimistic than almost. ,LBA
29,958,6,3,1,10,10,10,11,11,1,1,1,8,7,4,11,11,1,1,10,1,5,5,11,11,"I think my responses did differ based on the wording. I felt that the game relied on luck so whichever wheel was used, I thought the winner was still lucky. The words ""barely"" and ""almost"" I think made me look at the question in the same way. ",ALB
30,1030,2,3,4,3,6,4,11,11,1,1,4,6,7,7,11,11,1,1,6,5,4,7,11,11,"I think they were asking different things. ""Almost"" and ""barely"" are very similar but I felt like ""lucky"" was asking something different. Almost losing or barely winning seemed like it had more to do with how close to the edge of the color the spinner got. But ""lucky"" has more to do with the chance of winning or losing which doesn't change based on the spin. In other words, ""almost"" and ""barely"" have to do with the outcome of the spin whereas ""lucky"" has to do with how the game was designed in the first place.",BAL
32,899,7,5,7,9,7,7,11,11,1,1,8,8,2,2,11,11,1,1,9,8,1,1,11,11,"I think that the ""lucky"" phrasing helped generate significantly different responses. When I thought about whether the player was lucky or not, I rated them lucky regardless of how close the needle was to the edge of their zone. Meanwhile, ""barely"" and ""almost"" made me think of the players who had needles close to the edges of their zones; while I rated those as somewhat more lucky, I rated them significantly more as ""barely won"" or ""almost lost"".",ALB
33,973,7,5,4,9,7,7,11,11,4,4,2,8,7,7,11,11,4,3,2,6,6,6,11,11,"Barely and almost were interpreted as synonyms. It can be applied to negative and positive ends;  i.e. almost winning or almost losing. Lucky, however, applies to a positive event in which there was a huge chance of losing. ",LBA
34,921,1,1,10,10,5,5,11,11,1,1,10,10,1,1,1,11,1,1,10,10,1,1,11,11,Yes for barely and almost but no for lucky in comparison to the other two. I believe in whatever scenario the player had 33% chance of winning and by definition to win with such chances it is reasonably lucky while barely and almost were more questions in terms of how close to the boundaries the pointer was.,BAL
35,1043,4,4,7,8,9,9,11,11,1,1,9,8,7,7,11,11,2,3,8,8,6,5,11,11,"There was not much difference in the thought process behind the different phrasings of the questions. The set of 'lucky' questions was similar to 'barely' in the sense that the pointers close to the edge in the big wheel and the winning ones on the smaller wheel both indicated a sense of 'luck' and of 'barely' winning. 'Almost' losing also means more or less the same, with the pointers in the middle almost never being strongly agreed with any one of the words, and the edge pointers and basically any of the smaller split wheels were agreed with.",LBA
36,910,4,4,10,1,7,7,11,11,1,1,9,9,6,4,11,11,1,1,8,1,4,6,11,11,Lucky meant that the outcome was in the contestant's favor against the odds. this was true in all cases that the player won but more true in the wheel with 18 segments. ,ALB
37,1011,2,3,5,5,7,7,11,11,1,1,10,10,1,1,11,11,1,1,7,7,3,4,11,11,"I think the questions were asking different things. When there were only 3 outcomes, I tended to think that an outcome was not really based on luck. When there were 18 outcomes, I tended to think that outcomes were based more on luck. The same kind of process goes for the ""barely"" and ""almost"" questions.",BAL
38,1032,5,5,5,5,5,5,11,11,5,5,7,7,5,5,11,11,5,5,7,7,5,5,11,11,,LBA
39,1026,1,3,7,1,3,5,11,11,2,2,7,7,6,4,11,11,3,2,8,8,7,4,1,11,"barely means that the outcome was a success, but crossed into the correct zone very close to an incorrect zone, rather than having traveled through most of the correct zone already. Lucky can mean either side of the correct zone.",ALB
40,981,6,6,6,7,6,7,11,11,1,2,2,7,4,4,11,11,1,1,1,9,4,5,11,11,"For barely and almost, I thought it was the same question. For whether the player was lucky, I knew that the answer should always be the same, and it felt like a slightly different question.",LBA
41,1041,6,6,6,7,7,7,11,11,1,1,3,3,1,1,11,11,1,1,3,5,1,1,11,11,I noticed that because each color had a 33.3% chance of winning a player should be fairly lucky in order to win which is why I agreed with the statement of luck the most. The terms almost and barely didn't really change my opinion in the 3 colors vs 18 colors as there was an equal chance of landing on the proper color for both. ,BAL
42,1021,3,3,7,7,5,5,11,11,2,2,7,7,2,2,11,11,1,1,9,9,1,1,11,11,"Lucky and barely held different meanings because lucky seems like it is simply out of their hands but barely feels like they had control of the outcome. Almost felt like it was the same as lucky, kind of a middle ground but to me it meant the same as saying Lucky. ",ALB
43,583,6,6,6,6,5,6,6,6,7,8,6,8,4,5,7,6,6,5,6,5,6,5,6,7,,BAL
44,583,7,6,6,5,6,7,6,5,6,6,6,5,6,5,7,4,7,6,6,4,7,5,6,7,,ALB
45,583,6,5,6,6,6,6,6,6,5,7,5,8,2,5,8,6,5,6,5,5,6,6,6,6,I feel that my response is not greatly influenced by these phrases.,LBA
46,1025,5,6,7,6,8,8,1,3,2,1,7,6,4,4,11,11,1,1,7,7,3,3,11,11,"The different phrasing certainly made it seem like different questions at the time, but upon trying to explain the differences right now, each word is quite similar. They all indicate a sense of just being enough or not enough.",ALB
47,1040,7,7,7,7,7,9,11,9,1,1,7,7,2,2,11,11,1,1,7,8,6,6,11,11,"Most of my responses to ""lucky"" types of questions were done taking into account probabilities. For instance, when the wheel stopped in the middle of the winning color, I would said that the winner in the 18 colors wheel situation was more lucky than the winner in the 3 color wheel situation due to probability differences. In the ""barely"" questions type, I would say that a winner had barely won if the wheel stopped close to the frontier between two colors. I used the same type of reasoning for the ""almost"" answers.",LBA
48,1016,6,7,8,8,7,7,11,11,1,1,8,8,1,1,11,11,1,1,8,8,1,1,11,11,"For ""barely"" and ""almost it felt like the exact same question, but I was also reasoning about the fact that spacially the probability for the 3 vs 18 were equivalent, until I got to ""lucky"".  Then, this changed slightly, especially considering the edge cases on 3.  This is because to me, the words ""barely"" and ""almost"" have a sort of cut and dry interpretation, dealing solely with probability, whereas the last word, ""lucky,"" gives more of a mystic sense, which is hard to explain because upon reflection the statements are equivalent.",BAL
49,1020,1,1,1,1,1,1,11,11,1,1,1,1,1,1,11,11,1,1,1,1,1,1,11,11,"These phrasings were a bit different but winning is winning, losing is losing ",BAL
50,988,6,10,8,9,6,7,11,11,2,3,7,10,4,4,11,11,3,2,9,7,5,7,11,11,"I feel like I answered the barely and almost sections in opposite ways, because barely winning made me think about luck more, and almost losing made me think less about luck. ",LBA
51,1031,10,10,9,7,11,11,8,11,10,3,6,8,9,10,5,11,8,2,1,11,10,11,10,2,"I thought that even though the same outcome would be achieved, phrases like lucky, barely, and almost would give a better indication of the spin and helps with the visualization of the spin. ",ALB
52,1028,7,7,10,10,10,10,1,1,1,1,10,9,8,5,1,1,1,10,9,9,10,9,1,1,I thought of them as basically the same.,ALB
53,956,3,3,3,5,10,7,11,11,3,3,3,3,8,8,11,11,3,3,8,3,8,8,3,11,I think they were asking different questions when it came to the difference between barely/almost and lucky. ,LBA
54,1013,4,8,7,8,9,9,11,11,1,1,7,7,4,5,11,11,1,1,7,7,4,4,11,11,"To me, their meaning varied. ""Barely"" and ""almost"" meant that they were close to losing, but won. ""Lucky"" was more applicable when the wheel had more parts because it was harder for the wheel to land on the exact color.  ",BAL
55,1005,9,5,1,9,9,10,5,1,1,10,1,1,1,1,5,1,1,1,1,1,7,6,1,1,I thought they were asking the same thing since the odds were the same for all three colors in each circle,BAL
